"","tgfb_perc","ctrl_perc"
"ACTA2",100,33.3333333333333
"ADAMTS1",33.3333333333333,33.3333333333333
"ATP6AP1",0,0
"B2M",0,0
"BGN",100,0
"BHLHE40",0,0
"CAV1",33.3333333333333,0
"CDKN2A",0,0
"CDKN2B",0,0
"COL1A1",100,66.6666666666667
"COL1A2",66.6666666666667,33.3333333333333
"COL4A1",100,66.6666666666667
"COL5A1",0,0
"CTGF",66.6666666666667,33.3333333333333
"DCN",0,0
"EGR2",0,0
"ELN",66.6666666666667,0
"ENG",66.6666666666667,0
"ETS1",0,0
"FBLN1",66.6666666666667,33.3333333333333
"FBN1",33.3333333333333,66.6666666666667
"FGF2",66.6666666666667,0
"FN1",66.6666666666667,0
"GADD45B",0,0
"GUSB",0,0
"HAS2",33.3333333333333,0
"ID1",0,0
"IL6",0,0
"ITGA1",66.6666666666667,0
"ITGA2",0,33.3333333333333
"JUN",0,0
"JUNB",0,0
"LARP6",0,0
"LOXL1",33.3333333333333,33.3333333333333
"LOXL2",66.6666666666667,0
"LTBP2",100,0
"MMP1",100,100
"MMP13",0,0
"MMP14",66.6666666666667,0
"MMP2",66.6666666666667,66.6666666666667
"NOX4",66.6666666666667,0
"PDGFA",0,0
"PMEPA1",33.3333333333333,0
"PPIA",0,0
"PPP3CA",0,0
"PSMD14",0,0
"PTEN",0,0
"RARA",0,0
"RARG",100,33.3333333333333
"RHOB",33.3333333333333,0
"SERPINE1",66.6666666666667,66.6666666666667
"SERPINE2",66.6666666666667,66.6666666666667
"SKI",0,0
"SKIL",33.3333333333333,0
"SMAD3",0,0
"SMAD7",0,0
"SPARC",100,66.6666666666667
"TGFB1",33.3333333333333,0
"TGFBR1",0,0
"TGFBR2",33.3333333333333,0
"THBS1",100,33.3333333333333
"THBS2",66.6666666666667,0
"TIMP1",66.6666666666667,0
"TIMP3",0,33.3333333333333
"TP53BP1",0,0
"VCAN",100,33.3333333333333
"VEGFA",0,0
"VIM",33.3333333333333,0
